name,name_pt,name_en,barcode,brands,categories,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,countries,source
Barra nuts original,,Barra nuts original,7898957354641,,,,,,,,,,,en:brazil,openfoodfacts
Pão de forma,,Pão de forma,7897442600102,,,,,,,,,,,en:brazil,openfoodfacts
Mix do sono,,Mix do sono,7896029602911,,,,,,,,,,,en:brazil,openfoodfacts
Suco del valle manga,,Suco del valle manga,7894900660401,,,,,,,,,,,en:brazil,openfoodfacts
Barra de cereal,,Barra de cereal,7891331000813,,,,,,,,,,,en:brazil,openfoodfacts
Leite zero lactose a2,,Leite zero lactose a2,7898215157922,Piracanjuba,,,,,,,,,,en:brazil,openfoodfacts
Mix sementes,,Mix sementes,7896261404809,Monama,,,,,,,,,,en:brazil,openfoodfacts
Disqueti,,Disqueti,7896058500189,,,,,,,,,,,en:brazil,openfoodfacts
Vitamassa premium,,Vitamassa premium,7897353900933,Vitamassa,,,,,,,,,,en:brazil,openfoodfacts
Pão de queijo recheado com goiabada,,Pão de queijo recheado com goiabada,7897076027139,Daki,,,,,,,,,,en:brazil,openfoodfacts
Requeijão cremoso,,Requeijão cremoso,7898194162030,,,,,,,,,,,en:brazil,openfoodfacts
Levedo de cerveja,,Levedo de cerveja,7898125910969,,,,,,,,,,,en:brazil,openfoodfacts
Sorvegel,,Sorvegel,7898005514348,,,,,,,,,,,en:brazil,openfoodfacts
Purê de aimpim com tiras de sobrecoxa,,Purê de aimpim com tiras de sobrecoxa,7899861320487,,,,,,,,,,,en:brazil,openfoodfacts
Fofura cebola,,Fofura cebola,7892840823177,,,,,,,,,,,en:brazil,openfoodfacts
Cebolinha cristal,,Cebolinha cristal,7896183003906,,,,,,,,,,,en:brazil,openfoodfacts
Leite de coco,,Leite de coco,7898596081014,Copra,,,,,,,,,,en:brazil,openfoodfacts
Paçoca caseirq,,Paçoca caseirq,7897570166280,,,,,,,,,,,en:brazil,openfoodfacts
Light Soy Sauce,,Light Soy Sauce,6902265505419,Golden Label,,,,,,,,,,en:brazil,openfoodfacts
Miojo de carne,,Miojo de carne,7896085087271,,,,,,,,,,,en:brazil,openfoodfacts
Shao Hsing Cooking Wine,,Shao Hsing Cooking Wine,6927198969084,Ningbo Ningtai Make Wine,,,,,,,,,,en:brazil,openfoodfacts
Mate ice,,Mate ice,7891098042149,,,,,,,,,,,en:brazil,openfoodfacts
Suco De Uva Tinto Integral,,,7899439400092,Parreiras Do Sul,,,,,,,,,,en:brazil,openfoodfacts
Bolinho de chocolate,,Bolinho de chocolate,7898568901715,Vitalin,,,,,,,,,,en:brazil,openfoodfacts
Queijo minas frescal,,Queijo minas frescal,7896598300089,,,,,,,,,,,en:brazil,openfoodfacts
Charque,,Charque,7898044480505,,,,,,,,,,,en:brazil,openfoodfacts
suco de cajá adoçado,suco de cajá adoçado,cajá juice,1232456897128,o melhor sabor,en:beverages-and-beverages-preparations; en:plant-based-foods-and-beverages; en:beverages; en:plant-based-beverages; en:juices-and-nectars,,,,,,,,,en:brazil,openfoodfacts
Barra de proteína,,Barra de proteína,7899751201407,,,,,,,,,,,en:brazil,openfoodfacts
Mix gourmet,,Mix gourmet,7899934813441,Oba bem querer,,,,,,,,,,en:brazil,openfoodfacts
Costela em cubos,,Costela em cubos,7908625603275,,,,,,,,,,,en:brazil,openfoodfacts
Pão De Forma Caserino Integral,Pão De Forma Caserino Integral,Pão de forma caderno integral,7895000505449,Qualitá,,,,,,,,,,en:brazil,openfoodfacts
Suco de laranja,,Suco de laranja,7898651640088,,,,,,,,,,,en:brazil,openfoodfacts
Granola com cereais e frutas cristalizadas,,Granola com cereais e frutas cristalizadas,7891103218804,,,,,,,,,,,en:brazil,openfoodfacts
Gummy hair,,Gummy hair,7896321026637,Gummy,,,,,,,,,,en:brazil,openfoodfacts
Biscoito de povilho de beterraba linha fit,,Biscoito de povilho de beterraba linha fit,7898924857854,,,,,,,,,,,en:brazil,openfoodfacts
Água de coco com polpa de coco,,Água de coco com polpa de coco,7898596082769,Copra,,,,,,,,,,en:brazil,openfoodfacts
Achocolatado friminho 200g,,Achocolatado friminho 200g,7896275960131,,,,,,,,,,,en:brazil,openfoodfacts
Doce de leite com nozes,,Doce de leite com nozes,7896653703244,Flormel,,,,,,,,,,en:brazil,openfoodfacts
Cookie sams club,,Cookie sams club,7891737316297,Member’s mark,,,,,,,,,,en:brazil,openfoodfacts
Whey protein isolado sabor coco,,Whey protein isolado sabor coco,7898641070994,,,,,,,,,,,en:brazil,openfoodfacts
Body up protein chocolate,,Body up protein chocolate,7898132545086,Sanavita,,,,,,,,,,en:brazil,openfoodfacts
Bananinha sem adição de açúcares,,Bananinha sem adição de açúcares,7897194100561,,,,,,,,,,,en:brazil,openfoodfacts
Bebida whey,,Bebida whey,7891103525704,,,,,,,,,,,en:brazil,openfoodfacts
Goiabada cascão,,Goiabada cascão,7896397800711,Praeira,,,,,,,,,,en:brazil,openfoodfacts
Sorvete topmilk de nata,,Sorvete topmilk de nata,7898562640825,,,,,,,,,,,en:brazil,openfoodfacts
Granola sem glúten,,Granola sem glúten,7896063285460,,,,,,,,,,,en:brazil,openfoodfacts
Biscoito de polvilho tradicional,,Biscoito de polvilho tradicional,7897559900171,,,,,,,,,,,en:brazil,openfoodfacts
Biscoito água e sal,,Biscoito água e sal,7896200041416,,,,,,,,,,,en:brazil,openfoodfacts
Protein +,,Protein +,7896798603249,Banana Brasil,,,,,,,,,,en:brazil,openfoodfacts
Protein bar caramel,,Protein bar caramel,7898902330157,,,,,,,,,,,en:brazil,openfoodfacts
Move,,Move,7898952041003,,,,,,,,,,,en:brazil,openfoodfacts
Ovos Brancos Extra,Ovos Brancos Extra,,7896982100035,Mantiqueira,en:farming-products; en:fish-and-meat-and-eggs; en:eggs; en:chicken-eggs,,,,,,,,,en:brazil,openfoodfacts
Queijo Tipo Provolone Fresco (Defumado),Queijo Tipo Provolone Fresco (Defumado),,7898922466096,Sertanorte,,,,,,,,,,en:brazil,openfoodfacts
Doce plus (torta de maçã),,Doce plus (torta de maçã),7896005210420,,,,,,,,,,,en:brazil,openfoodfacts
Queijo mussarela,,Queijo mussarela,7897153001557,,,,,,,,,,,en:brazil,openfoodfacts
Gelatina Algodão Doce,Gelatina Algodão Doce,,7891048045466,Dr. Oetker,en:cooking-helpers; en:dessert-mixes; en:mixes-for-jelly-desserts,,,,,,,,,en:brazil,openfoodfacts
Castanha do pará,,Castanha do pará,7894134315016,Castanha do bem,,,,,,,,,,en:brazil,openfoodfacts
Snack de milho sabor lemon pepper,,Snack de milho sabor lemon pepper,7897701102903,Fhom,,,,,,,,,,en:brazil,openfoodfacts
Maçã,,Maçã,7898674510504,,,,,,,,,,,en:brazil,openfoodfacts
Mistura Para Pizza,Mistura Para Pizza,,7898568901074,Vitalin,en:plant-based-foods-and-beverages; en:plant-based-foods; en:cereals-and-potatoes; en:cereals-and-their-products; en:flours,,,,,,,,,en:brazil,openfoodfacts
Queijo Prato Fracionado,Queijo Prato Fracionado,,7896030501036,Tirolez,en:dairies; en:fermented-foods; en:fermented-milk-products; en:cheeses; pt:queijo-prato,,,,,,,,,en:brazil,openfoodfacts
Amora congelada,,Amora congelada,7898994485971,In natura,,,,,,,,,,en:brazil,openfoodfacts
Azeitona conserva,,Azeitona conserva,7898189350541,,,,,,,,,,,en:brazil,openfoodfacts
Picolé giga frutas vermelhas,,Picolé giga frutas vermelhas,7898112430166,,,,,,,,,,,en:brazil,openfoodfacts
Max titanium,,Max titanium,7896438211124,,,,,,,,,,,en:brazil,openfoodfacts
Suco,,Suco,7896267780778,,,,,,,,,,,en:brazil,openfoodfacts
Red dates morango framboesa e beterraba,,Red dates morango framboesa e beterraba,7898996295448,Red dates,,,,,,,,,,en:brazil,openfoodfacts
Queijo mussarela condimentado,,Queijo mussarela condimentado,7898963213659,,,,,,,,,,,en:brazil,openfoodfacts
Leite condensado parmalat,,Leite condensado parmalat,7891097105715,,,,,,,,,,,en:brazil,openfoodfacts
Massa pronta tapioca,,Massa pronta tapioca,7898222750437,,,,,,,,,,,en:brazil,openfoodfacts
Gengibirra zero,,Gengibirra zero,7896188400885,,,,,,,,,,,en:brazil,openfoodfacts
Leite integral,,Leite integral,7896773900417,,,,,,,,,,,en:brazil,openfoodfacts
Penne com chia,,Penne com chia,7896324203721,,,,,,,,,,,en:brazil,openfoodfacts
Queijo emmental,,Queijo emmental,7898902568789,Monastere,,,,,,,,,,en:brazil,openfoodfacts
Whey up protein,,Whey up protein,7898132544904,Sanavita,,,,,,,,,,en:brazil,openfoodfacts
Filé de Peito de Frango Swift,Filé de Peito de Frango Swift,Filé de peito de frango,7894904279111,Swift,en:meats-and-their-products; en:meats,,,,,,,,,en:brazil,openfoodfacts
Body up protein,,Body up protein,7898132544928,Sanavita,,,,,,,,,,en:brazil,openfoodfacts
Farinha de Coco,Farinha de Coco,,7898904099007,coco & cia,en:plant-based-foods-and-beverages; en:plant-based-foods; en:fruits-and-vegetables-based-foods; en:fruits-based-foods; en:dried-products,,,,,,,,,en:brazil,openfoodfacts
Whey,,Whey,7898717380491,Nutra gold,,,,,,,,,,en:brazil,openfoodfacts
Frutuba tubaína,,Frutuba tubaína,7896718701437,,,,,,,,,,,en:brazil,openfoodfacts
Cookies sem glúten (sabor morango com gotas de chocolate),,Cookies sem glúten (sabor morango com gotas de chocolate),7896063201354,,,,,,,,,,,en:brazil,openfoodfacts
Miojo carne,,Miojo carne,7898932426783,Marata,,,,,,,,,,en:brazil,openfoodfacts
Maionese com ervas finas,,Maionese com ervas finas,7898016923764,,,,,,,,,,,en:brazil,openfoodfacts
Requeijão light,,Requeijão light,7898034920660,,,,,,,,,,,en:brazil,openfoodfacts
Batata palha,,Batata palha,7898026320065,Pingool,,,,,,,,,,en:brazil,openfoodfacts
suco de acerola,suco de acerola,acerola juice,1232456897203,suco o melhor sabor,en:beverages-and-beverages-preparations; en:plant-based-foods-and-beverages; en:beverages; en:plant-based-beverages; en:juices-and-nectars,,,,,,,,,en:brazil,openfoodfacts
Picolé água de coco,,Picolé água de coco,7898125160296,,,,,,,,,,,en:brazil,openfoodfacts
Bebida de aveia,,Bebida de aveia,7893036012900,,,,,,,,,,,en:brazil,openfoodfacts
Pepinos agridoce em conserva,,Pepinos agridoce em conserva,7898614651724,,,,,,,,,,,en:brazil,openfoodfacts
Barbecue original,,Barbecue original,7898453461331,,,,,,,,,,,en:brazil,openfoodfacts
Souperfood,,Souperfood,7896311770908,Nutrido,,,,,,,,,,en:brazil,openfoodfacts
Reduct shake chocolate,,Reduct shake chocolate,7898649501490,,,,,,,,,,,en:brazil,openfoodfacts
Arroz carreteiro blue ville,,Arroz carreteiro blue ville,7896011945057,,,,,,,,,,,en:brazil,openfoodfacts
Farinha de chia,,Farinha de chia,7896603701108,,,,,,,,,,,en:brazil,openfoodfacts
Granola tradicional,,Granola tradicional,7896603700316,,,,,,,,,,,en:brazil,openfoodfacts
Linhaça,,Linhaça,7896603700446,,,,,,,,,,,en:brazil,openfoodfacts
Snackout doce de brigadeiro crocante,,Snackout doce de brigadeiro crocante,7898958201159,,,,,,,,,,,en:brazil,openfoodfacts
Biscoito de arroz,,Biscoito de arroz,7896181712084,DaColônia,,,,,,,,,,en:brazil,openfoodfacts
Bolacha aperitivo,,Bolacha aperitivo,7896058257939,,,,,,,,,,,en:brazil,openfoodfacts
Cuzcuz,,Cuzcuz,7898274440058,,,,,,,,,,,en:brazil,openfoodfacts
Geleia de morango orgânica alvorada,,Geleia de morango orgânica alvorada,7897593100155,,,,,,,,,,,en:brazil,openfoodfacts
Requeijão light,,Requeijão light,7898227280120,,,,,,,,,,,en:brazil,openfoodfacts
Yai,,Yai,7898651400705,Turma da mônica,,,,,,,,,,en:brazil,openfoodfacts
Creme De Ricota Light,Creme De Ricota Light,Creme de ricota light,7896114101763,Ipanema,,,,,,,,,,en:brazil,openfoodfacts
7898215152897,7898215152897,,7898215152897,,,,,,,,,,,en:brazil,openfoodfacts
Cheetos Onda Sabor Requeijão 105G,Cheetos Onda Sabor Requeijão 105G,,7892840823467,Cheetos,en:snacks; en:salty-snacks; en:appetizers; en:chips-and-fries; en:crisps,,,,,,,,,en:brazil,openfoodfacts
TiraTeima Sabor Bacon 70G,TiraTeima Sabor Bacon 70G,,7896499901781,,,,,,,,,,,en:brazil,openfoodfacts
Creatina,,Creatina,7898601790139,,,,,,,,,,,en:brazil,openfoodfacts
Manteiga de palma com sal,,Manteiga de palma com sal,7898961432205,,,,,,,,,,,en:brazil,openfoodfacts
Bebida láctea uht com aveia,,Bebida láctea uht com aveia,7896569403306,,,,,,,,,,,en:brazil,openfoodfacts
Cuscuz flocão arroz,,Cuscuz flocão arroz,7896481130267,,,,,,,,,,,en:brazil,openfoodfacts
Pãozinho especial,,Pãozinho especial,7896289210086,,,,,,,,,,,en:brazil,openfoodfacts
Nachos,,Nachos,7898117962419,Reizinho,,,,,,,,,,en:brazil,openfoodfacts
Whey gourmet 3wpro baunilha,,Whey gourmet 3wpro baunilha,7898996232849,,,,,,,,,,,en:brazil,openfoodfacts
Leite em pó integral,,Leite em pó integral,7898215158011,,,,,,,,,,,en:brazil,openfoodfacts
Leite em Pó Integral Instantâneo Piracanjuba,Leite em Pó Integral Instantâneo Piracanjuba,,7898215157991,Piracanjuba,en:beverages-and-beverages-preparations; en:beverages; en:dairies; en:milks-liquid-and-powder; en:dried-products,,,,,,,,,en:brazil,openfoodfacts
Leite Em Pó Desnatado,Leite Em Pó Desnatado,,7898215158004,Piracanjuba,,,,,,,,,,en:brazil,openfoodfacts
Alga Marinha,Alga Marinha,Yaki sushi nori,7896007803293,Sakura,,,,,,,,,,en:brazil,openfoodfacts
Pasta De Amendoin Amendo Power Com Cacau,Pasta De Amendoin Amendo Power Com Cacau,Amendo Power Com Cacau,7896181710387,DaColônia,,,,,,,,,,en:brazil,openfoodfacts
Filé à Milanesa,Filé à Milanesa,Filé a milanesa,7896419725480,Lar,,,,,,,,,,en:brazil,openfoodfacts
Catchup (ketchup),,Catchup (ketchup),7896945402060,,en:condiments; en:sauces; en:tomato-sauces; en:ketchup,,,,,,,,,en:brazil,openfoodfacts
Fini melancia azedinha,,Fini melancia azedinha,7898279794842,Fini,,,,,,,,,,en:brazil,openfoodfacts
Coxinha da asa buffa wings,,Coxinha da asa buffa wings,7894904268078,,,,,,,,,,,en:brazil,openfoodfacts
Biscoito água e sal,Biscoito água e sal,,7896058258837,Triunfo,en:snacks; en:salty-snacks; en:appetizers; en:biscuits-and-crackers; en:crackers-appetizers,,,,,,,,,en:brazil,openfoodfacts
Cacau zissimo,,Cacau zissimo,7898633414287,,,,,,,,,,,en:brazil,openfoodfacts
Nutrigood,,Nutrigood,7891066002212,,,,,,,,,,,en:brazil,openfoodfacts
Italac whey 15g proteínas,,Italac whey 15g proteínas,7898080643155,Italac,,,,,,,,,,en:brazil,openfoodfacts
Farinha de chia e linhaça,,Farinha de chia e linhaça,7898383862956,Frutos da terra,,,,,,,,,,en:brazil,openfoodfacts
Choco crunch,,Choco crunch,7898962761793,Popai cubos proteicos,,,,,,,,,,en:brazil,openfoodfacts
Halls prata,,Halls prata,78938878,,,,,,,,,,,en:brazil,openfoodfacts
Smoofree frutas vermelhas,,Smoofree frutas vermelhas,7908228804413,,,,,,,,,,,en:brazil,openfoodfacts
Salgadinho salcique sabor bacon defumado,,Salgadinho salcique sabor bacon defumado,7897546003502,,,,,,,,,,,en:brazil,openfoodfacts
Pão multigraos com legumes e azeite,,Pão multigraos com legumes e azeite,7896022207649,Samantha,,,,,,,,,,en:brazil,openfoodfacts
Power chai,,Power chai,7898661011052,Pura vida,,,,,,,,,,en:brazil,openfoodfacts
suco de goiaba,,suco de goiaba,1232456897180,o melhor sabor,en:beverages-and-beverages-preparations; en:plant-based-foods-and-beverages; en:beverages; en:plant-based-beverages; en:juices-and-nectars,,,,,,,,,en:brazil,openfoodfacts
Picolé mini saia,,Picolé mini saia,7898125160272,Eskimo,,,,,,,,,,en:brazil,openfoodfacts
Chocolate branco com amendoim,,Chocolate branco com amendoim,7891330018895,,,,,,,,,,,en:brazil,openfoodfacts
Guaraná mineiro zero,,Guaraná mineiro zero,7897184000130,,,,,,,,,,,en:brazil,openfoodfacts
Tirinha de moranga com gergelim,,Tirinha de moranga com gergelim,7898959189036,,,,,,,,,,,en:brazil,openfoodfacts
Cereais em barra 7 grãos,,Cereais em barra 7 grãos,7898055420712,,,,,,,,,,,en:brazil,openfoodfacts
Biscoito caseiro de manteiga,,Biscoito caseiro de manteiga,7898649490015,,,,,,,,,,,en:brazil,openfoodfacts
Whey 3vs,,Whey 3vs,7898616753907,,,,,,,,,,,en:brazil,openfoodfacts
Miojo cremoso picanha,,Miojo cremoso picanha,7896022203122,,,,,,,,,,,en:brazil,openfoodfacts
Batatinha,,Batatinha,7898005861442,,,,,,,,,,,en:brazil,openfoodfacts
Creme de ricota,,Creme de ricota,7898194161644,,,,,,,,,,,en:brazil,openfoodfacts
Whey up protein chocobelga,,Whey up protein chocobelga,7898132544898,,,,,,,,,,,en:brazil,openfoodfacts
Broa castanha com quinoa,,Broa castanha com quinoa,7896096501940,,,,,,,,,,,en:brazil,openfoodfacts
Cookie com maçã e canela,,Cookie com maçã e canela,7898586665606,,,,,,,,,,,en:brazil,openfoodfacts
Massa para pastel,,Massa para pastel,7898193170227,,,,,,,,,,,en:brazil,openfoodfacts
Salada menu,,Salada menu,7899985000654,Ateliê,,,,,,,,,,en:brazil,openfoodfacts
Salame tipo italiano,Salame tipo italiano,Salame italiano,7896716311195,Pamplona,,,,,,,,,,en:brazil,openfoodfacts
Pipoca,,Pipoca,7898084091129,,,,,,,,,,,en:brazil,openfoodfacts
coisa misteriosa de frango,coisa misteriosa de frango,Frango swift,7899567242717,Swift,,,,,,,,,,en:brazil,openfoodfacts
Arroz parboilizado vila nova,,Arroz parboilizado vila nova,7896380200573,Vila nova,,,,,,,,,,en:brazil,openfoodfacts
Suco misto de pêssego e maçã- 1 litro,,Suco misto de pêssego e maçã- 1 litro,7896267780754,,,,,,,,,,,en:brazil,openfoodfacts
Pão de sanduíche,,Pão de sanduíche,7898009400050,Bom gosto,,,,,,,,,,en:brazil,openfoodfacts
Tasty whey,,Tasty whey,7893595543297,,,,,,,,,,,en:brazil,openfoodfacts
Barra de Proteína Hummm! Paçoca,Barra de Proteína Hummm! Paçoca,Hum!,7896001282148,Linea,,,,,,,,,,en:brazil,openfoodfacts
Nikuman frango com legumes,,Nikuman frango com legumes,7898015780092,,,,,,,,,,,en:brazil,openfoodfacts
Pastel maromba,,Pastel maromba,7894521659853,,,,,,,,,,,en:brazil,openfoodfacts
Picolé  cookies e cream,,Picolé  cookies e cream,7898966976162,Maxximus,,,,,,,,,,en:brazil,openfoodfacts
Whey protein,,Whey protein,7896311774951,,,,,,,,,,,en:brazil,openfoodfacts
Refrigerante de uva,,Refrigerante de uva,7896278500402,,,,,,,,,,,en:brazil,openfoodfacts
Bella roma coquetel composto,,Bella roma coquetel composto,7898942055980,,,,,,,,,,,en:brazil,openfoodfacts
Bananada cremosa tipo caseira,,Bananada cremosa tipo caseira,7893595717964,,,,,,,,,,,en:brazil,openfoodfacts
Barra  proteica  romeu e julieta,,Barra  proteica  romeu e julieta,7898652810237,Scorpion,,,,,,,,,,en:brazil,openfoodfacts
Biscoito polvilho,,Biscoito polvilho,7898540920086,,,,,,,,,,,en:brazil,openfoodfacts
Macarrão  espaguete,,Macarrão  espaguete,7896021303885,,,,,,,,,,,en:brazil,openfoodfacts
Leite fermentado,,Leite fermentado,7898644341565,Goianinho,,,,,,,,,,en:brazil,openfoodfacts
Goiabada cremosa,,Goiabada cremosa,7898904189074,,,,,,,,,,,en:brazil,openfoodfacts
Rosquinhas sabor coco,,Rosquinhas sabor coco,0790499963565,,,,,,,,,,,en:brazil,openfoodfacts
Rosquinha sabor coco,,Rosquinha sabor coco,7896004009902,,,,,,,,,,,en:brazil,openfoodfacts
Palitos,,Palitos,7891203069948,Panco,,,,,,,,,,en:brazil,openfoodfacts
yobem whey cafe expresso,yobem whey cafe expresso,yobem whey cafe expresso,7898064016210,Betânia,en:beverages-and-beverages-preparations; en:beverages; en:dairies; en:dairy-drinks; en:dietary-supplements,,,,,,,,,en:brazil,openfoodfacts
Pão de Forma,Pão de Forma,,7898904874048,PlufNut,en:plant-based-foods-and-beverages; en:plant-based-foods; en:cereals-and-potatoes; en:breads; en:sliced-breads,,,,,,,,,en:brazil,openfoodfacts
Queijo prato fatiado,Queijo prato fatiado,Queijo prato firmeza prato 150g,7896275983956,Frimesa,,,,,,,,,,en:brazil,openfoodfacts
Farinha de aveia,,Farinha de aveia,7898957204076,Monama,en:plant-based-foods-and-beverages; en:plant-based-foods; en:cereals-and-potatoes; en:cereals-and-their-products; en:flours,,,,,,,,,en:brazil,openfoodfacts
Pão de queijo,,Pão de queijo,7898903975197,,,,,,,,,,,en:brazil,openfoodfacts
Frutap,,Frutap,7896862001292,,,,,,,,,,,en:brazil,openfoodfacts
Queijo minas frescal light,,Queijo minas frescal light,7896636200456,Bom Pastor,,,,,,,,,,en:brazil,openfoodfacts
Queijo mussarela,,Queijo mussarela,7897318512676,,,,,,,,,,,en:brazil,openfoodfacts
Plinckitos,,Plinckitos,7896769802435,,,,,,,,,,,en:brazil,openfoodfacts
Suco manga tial,,Suco manga tial,7896005310113,Tial,,,,,,,,,,en:brazil,openfoodfacts
Uva vermelha,,Uva vermelha,7898957749027,,,,,,,,,,,en:brazil,openfoodfacts
Creme de queijo minas frescal,,Creme de queijo minas frescal,7896183220181,Quatá,,,,,,,,,,en:brazil,openfoodfacts
Manteiga zero lactose,,Manteiga zero lactose,7898133621659,,,,,,,,,,,en:brazil,openfoodfacts
Queijo tirolez mussarela,,Queijo tirolez mussarela,7896030521638,Tirolez,,,,,,,,,,en:brazil,openfoodfacts
Uva da fazenda,,Uva da fazenda,7897195981343,,,,,,,,,,,en:brazil,openfoodfacts
Aveia sem gluten,,Aveia sem gluten,7898634260876,Cereal Crock,,,,,,,,,,en:brazil,openfoodfacts
Geleia de morango,,Geleia de morango,7891103218897,,,,,,,,,,,en:brazil,openfoodfacts
Barrinha,,Barrinha,7898755180404,Bold,,,,,,,,,,en:brazil,openfoodfacts
Nutren proteína,,Nutren proteína,7891000439500,Nestlé,,,,,,,,,,en:brazil,openfoodfacts
Polenguinho,,Polenguinho,7891143017788,Polenguinho,,,,,,,,,,en:brazil,openfoodfacts
3whey,,3whey,7899598020292,,,,,,,,,,,en:brazil,openfoodfacts
Arroz parborizado,,Arroz parborizado,7896384100053,,pt:arroz-parborizado,,,,,,,,,en:brazil,openfoodfacts
Whey special flavor,,Whey special flavor,7899550898761,,,,,,,,,,,en:brazil,openfoodfacts
7 grãos +,,7 grãos +,7896401183960,Urbano,,,,,,,,,,en:brazil,openfoodfacts
Pipoca caramelizada amendoim boku's,Pipoca caramelizada amendoim boku's,Pipoca caramelizada amendoim boku's,7896278302457,Bokud,,,,,,,,,,en:brazil,openfoodfacts
Sweet grape,,Sweet grape,7898936058034,,,,,,,,,,,en:brazil,openfoodfacts
Salgadinho scrusch,,Salgadinho scrusch,7891091063110,,,,,,,,,,,en:brazil,openfoodfacts
Linguiça goshen,,Linguiça goshen,7898945009461,,,,,,,,,,,en:brazil,openfoodfacts
Showkinho,,Showkinho,7896256602104,,,,,,,,,,,en:brazil,openfoodfacts
Salada de frango,,Salada de frango,7898953924008,,,,,,,,,,,en:brazil,openfoodfacts
Queijo mussarela,,Queijo mussarela,7896114104337,Ipanema,,,,,,,,,,en:brazil,openfoodfacts
Pão Big Burguer Tradicional,Pão Big Burguer Tradicional,,0602883921887,Supernosso,,,,,,,,,,en:brazil,openfoodfacts
Linguiça calabresa,,Linguiça calabresa,7891515620981,Sadia,,,,,,,,,,en:brazil,openfoodfacts
Suco trink laranja,,Suco trink laranja,7896004008660,,,,,,,,,,,en:brazil,openfoodfacts
Iogurte de maçã,,Iogurte de maçã,7895000453276,Qualira,,,,,,,,,,en:brazil,openfoodfacts
Whey bar,,Whey bar,7896438201408,Probiotics,,,,,,,,,,en:brazil,openfoodfacts
Leite fermentado,,Leite fermentado,7896085393563,,,,,,,,,,,en:brazil,openfoodfacts
3whey,,3whey,7899598008429,,,,,,,,,,,en:brazil,openfoodfacts
Whey Protein Concentrado Dux Baunilha - 900g,Whey Protein Concentrado Dux Baunilha - 900g,Whey baunilha,7898641073735,Dux,en:dietary-supplements,,,,,,,,,en:brazil,openfoodfacts
Milho em conserva,,Milho em conserva,7891103217616,,,,,,,,,,,en:brazil,openfoodfacts
Protein cookies,,Protein cookies,7896839172673,Da magrinha,,,,,,,,,,en:brazil,openfoodfacts
Gelatina de uva zero,,Gelatina de uva zero,7896706302004,,,,,,,,,,,en:brazil,openfoodfacts
"Iogurte com mamão, maçã, banana & cereais",,"Iogurte com mamão, maçã, banana & cereais",7891000260623,Nestlé,,,,,,,,,,en:brazil,openfoodfacts
Potato crisps,,Potato crisps,7908237700850,,,,,,,,,,,en:brazil,openfoodfacts
Pasta de Trigo Duro Integral,Pasta de Trigo Duro Integral,,7730430004561,Las Acacias,,,,,,,,,,en:brazil,openfoodfacts
Splat,,Splat,7898101630829,Splat,,,,,,,,,,en:brazil,openfoodfacts
Sorvete bombom no palito,,Sorvete bombom no palito,7898006951470,,,,,,,,,,,en:brazil,openfoodfacts
Pé de moça,Pé de moça,,7896181709534,DaColônia,en:snacks; en:sweet-snacks; en:confectioneries; en:festive-foods; en:christmas-foods-and-drinks,,,,,,,,,en:bolivia; en:brazil; en:united-states,openfoodfacts
Oatbran,,Oatbran,7898552309039,,,,,,,,,,,en:brazil,openfoodfacts
Whey isolado,,Whey isolado,7898705801090,Muscle clean,,,,,,,,,,en:brazil,openfoodfacts
Mel,,Mel,7897812232896,,,,,,,,,,,en:brazil,openfoodfacts
Amido de milho,,Amido de milho,7898435661001,Sabor verde,,,,,,,,,,en:brazil,openfoodfacts
Manteiga com Sal,Manteiga com Sal,Manteiga com sal,7897153001588,"Frizzo,Laticínios Frizzo Ltda,Laticínios Frizzo Limitada",en:dairies; en:fats; en:spreads; en:spreadable-fats; en:animal-fats,,,,,,,,,en:brazil,openfoodfacts
Biscoito de arroz,,Biscoito de arroz,7891103216336,,,,,,,,,,,en:brazil,openfoodfacts
Granola De Cacau,Granola De Cacau,,7891150097858,Mãe Terra,,,,,,,,,,en:brazil,openfoodfacts
Açaí zero,,Açaí zero,7898130771555,Canaã,,,,,,,,,,en:brazil,openfoodfacts
"Barra de cereais integral com iogurte, cranberry e aveia",,"Barra de cereais integral com iogurte, cranberry e aveia",7898055421948,,,,,,,,,,,en:brazil,openfoodfacts
Best whey cookies,,Best whey cookies,7899621105323,,,,,,,,,,,en:brazil,openfoodfacts
Passata rústica,,Passata rústica,7896292334137,Predilecta,,,,,,,,,,en:brazil,openfoodfacts
capelleti de frango,capelleti de frango,Massa fresca capeletti sabor 4 queijos,7896216101418,mezzani,,,,,,,,,,en:brazil,openfoodfacts
Torrada Integral,Torrada Integral,,7898260030058,Graça's,,,,,,,,,,en:brazil,openfoodfacts
Coconut Water,,Coconut Water,7898924646137,Cocó Legal,,,,,,,,,,en:brazil,openfoodfacts
Trento allegro,,Trento allegro,7896306624513,,,,,,,,,,,en:brazil,openfoodfacts
Suco de uva integral,Suco de uva integral,,7896037913719,Quinta Do Morgado,en:beverages-and-beverages-preparations; en:plant-based-foods-and-beverages; en:beverages; en:plant-based-beverages; en:juices-and-nectars,,,,,,,,,en:brazil,openfoodfacts
Wafer choco max,,Wafer choco max,7896213004781,,,,,,,,,,,en:brazil,openfoodfacts
