name,aliases,category,source,external_id,search_text,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,brands,original_name_en
"White Rice (Long-Grain, Enriched, Parboiled, Cooked)",{},outros,fatsecret,39721,"white rice (long-grain, enriched, parboiled, cooked)",123,2.91,26.05,0.37,0.9,0.002,0.11,0.07,,
"White Rice (Long-Grain, Unenriched, Parboiled, Cooked)",{},outros,fatsecret,39824,"white rice (long-grain, unenriched, parboiled, cooked)",123,2.91,26.05,0.37,0.9,0.002,0.11,0.07,,
"White Rice (Long-Grain, with Salt, Cooked)",{},outros,fatsecret,39836,"white rice (long-grain, with salt, cooked)",130,2.69,28.17,0.28,0.4,0.382,0.05,0.08,,
"White Rice (Medium-Grain, Cooked)",{},outros,fatsecret,39725,"white rice (medium-grain, cooked)",130,2.38,28.59,0.21,0.3,0,,0.06,,
"White Rice (Medium-Grain, Unenriched, Cooked)",{},outros,fatsecret,39826,"white rice (medium-grain, unenriched, cooked)",130,2.38,28.59,0.21,0,0,,0.06,,
"White Rice (Short-Grain, Cooked)",{},outros,fatsecret,39727,"white rice (short-grain, cooked)",130,2.36,28.73,0.19,0,0,,0.05,,
"White Rice (Short-Grain, Unenriched, Cooked)",{},outros,fatsecret,39828,"white rice (short-grain, unenriched, cooked)",130,2.36,28.73,0.19,0,0,,0.05,,
White Rice (Unsalted),{},outros,fatsecret,92129547,white rice (unsalted),130,2.69,28.17,0.28,0.4,0.001,0.05,0.08,,
White Rice with Tomato Sauce,{},outros,fatsecret,5139,white rice with tomato sauce,104,2.18,20.66,1.27,0.8,0.5,1.45,0.25,,
White and Wild Rice,{},outros,fatsecret,4525,white and wild rice,112,2.17,20.64,2.12,0.5,0.507,0.13,0.41,,
White and Wild Rice (Fat Not Added in Cooking),{},outros,fatsecret,4522,white and wild rice (fat not added in cooking),97,2.21,21,0.19,0.6,0.501,0.13,0.05,,
&quot;Party Pack&quot; Franks,{},carnes,openfoodfacts,0033589123839,&quot;party pack&quot; franks,321.4,12.5,1.79,28.57,0,0.875,,8.93,,
1 Dozen Farm Fresh Eggs,{Spartan},carnes,openfoodfacts,0011213019062,1 dozen farm fresh eggs spartan,276,24,0,20,0,0,,6,,
1 Dozen Farm Fresh Eggs (Spartan),{Spartan},carnes,openfoodfacts,0011213410104,1 dozen farm fresh eggs (spartan) spartan,217,20.2,0,15.1,0,0,,5.03,,
"1 Wow!, Lollipop Bouquet","{""Family Dollar Stores Inc.""}",acucares,openfoodfacts,0032251174230,"1 wow!, lollipop bouquet ""family dollar stores inc.""",385,0,100,0,0,,69.23,,,
1% Chocolate Milk,"{""King Soopers""}",outros,openfoodfacts,0011110505798,"1% chocolate milk ""king soopers""",75,3.33,13.33,1.25,0.4,,12.5,0.83,,
1% Low Fat Milk,"{""Roundy's Select""}",laticinios,openfoodfacts,0011150159593,"1% low fat milk ""roundy's select""",47,3.39,5.51,1.06,0,0.057,5.08,0.64,,
1% Low Fat Milk (Food Lion),"{""Food Lion""}",laticinios,openfoodfacts,0035826089663,"1% low fat milk (food lion) ""food lion""",46,3.33,5.42,1.04,0,0.052,5,0.62,,
1% Low Fat Milk (Hollandia Dairy),"{""Hollandia Dairy""}",laticinios,openfoodfacts,0027495013186,"1% low fat milk (hollandia dairy) ""hollandia dairy""",51,4.8,6.78,1.13,0,0.064,5.93,0.56,,
1% Lowfat Chocolate Milk,"{""Mountain Dairy""}",laticinios,openfoodfacts,0011110505835,"1% lowfat chocolate milk ""mountain dairy""",75,3.33,13.33,1.25,0.4,0.083,12.5,0.83,,
1% Lowfat Chocolate Milk (Mountain Dairy),"{""Mountain Dairy""}",laticinios,openfoodfacts,0011110505989,"1% lowfat chocolate milk (mountain dairy) ""mountain dairy""",83,4.58,14.58,1.04,0,0.1,14.17,0.62,,
1% Lowfat Chocolate Milk (Spartan),{Spartan},laticinios,openfoodfacts,0011213523651,1% lowfat chocolate milk (spartan) spartan,62,3.33,10,1.04,0,0.083,9.17,0.62,,
1% Lowfat Cultured Buttermilk,{Spartan},laticinios,openfoodfacts,0011213382104,1% lowfat cultured buttermilk spartan,50,3.75,5.83,1.04,0,0.167,5.42,0.62,,
1% Lowfat Milk,"{""King Soopers""}",laticinios,openfoodfacts,0011110502223,"1% lowfat milk ""king soopers""",42,3.33,5,1.04,0,0.05,4.58,0.62,,
1% Lowfat Milk (Borden),{Borden},laticinios,openfoodfacts,0015700162514,1% lowfat milk (borden) borden,45.8,3.33,5.42,1.04,0,0.054,5,0.62,,
1% Lowfat Milk (Food Lion),"{""Food Lion""}",laticinios,openfoodfacts,0035826089724,"1% lowfat milk (food lion) ""food lion""",46,3.33,5.42,1.04,0,0.054,5,0.62,,
1% Lowfat Milk (Food Town Stores Inc.),"{""Food Town Stores Inc.""}",laticinios,openfoodfacts,0035826089762,"1% lowfat milk (food town stores inc.) ""food town stores inc.""",46,3.33,5.42,1.04,0,0.054,5,0.62,,
1% Lowfat Milk (Kroger),{Kroger},laticinios,openfoodfacts,0011110502797,1% lowfat milk (kroger) kroger,75,3.75,13.75,1.04,0.4,0.079,12.5,0.62,,
1% Lowfat Milk (Lucerne),"{""1% milk"",Lucerne}",laticinios,openfoodfacts,0021130070664,"1% lowfat milk (lucerne) ""1% milk"",lucerne",45.8,3.75,5.42,1.04,0,0.058,5,0.62,,
1% Lowfat Milk (Mountain Dairy),"{""Mountain Dairy""}",laticinios,openfoodfacts,0011110502872,"1% lowfat milk (mountain dairy) ""mountain dairy""",42,3.33,5,1.04,0,0.05,4.58,0.62,,
1% Lowfat Milk (Natrel),{Natrel},laticinios,openfoodfacts,0024321930341,1% lowfat milk (natrel) natrel,42,3.33,5,1.04,0,0.054,5,0.62,,
1% Lowfat Milk (Spartan),{Spartan},laticinios,openfoodfacts,0011213025773,1% lowfat milk (spartan) spartan,46,3.33,5.42,1.04,0,0.054,5,0.62,,
1% Milkfat Lowfat Milk,{Roundy's},outros,openfoodfacts,0011150511162,1% milkfat lowfat milk roundy's,47,3.39,5.51,1.06,0,0.058,5.08,0.64,,
"1% Milkfat, Low Fat Milk, Chocolate",{Darigold},laticinios,openfoodfacts,0026400311300,"1% milkfat, low fat milk, chocolate darigold",79.2,4.17,12.92,0.83,0.42,0.097,12.08,0.42,,
1% low fat milk (Darigold),{Darigold},laticinios,openfoodfacts,0026400298717,1% low fat milk (darigold) darigold,46,3.75,5.42,1.04,0,0.054,5,0.62,,
1% low fat milk (Roundy's),{Roundy's},laticinios,openfoodfacts,0011150159524,1% low fat milk (roundy's) roundy's,47,3.39,5.51,1.06,0,0.057,5.08,0.64,,
1% lowfat milk (Clear Value),"{""Clear Value"",""Topco Associates  Inc.""}",laticinios,openfoodfacts,0036800180260,"1% lowfat milk (clear value) ""clear value"",""topco associates  inc.""",55,3.39,5.51,2.12,0,0.055,5.08,1.27,,
"1% lowfat milk, chocolate",{Spartan},laticinios,openfoodfacts,0011213523583,"1% lowfat milk, chocolate spartan",62,3.33,10,1.04,0,0.083,9.17,0.62,,
1% milkfat low fat milk,{Darigold},laticinios,openfoodfacts,0026400416685,1% milkfat low fat milk darigold,54,4.58,6.67,1.04,0,0.062,6.25,0.62,,
1-2-3 100% Canola Oil,{},bebidas,openfoodfacts,0012005000596,1-2-3 100% canola oil,929,0,0,100,0,,,7.14,,
1/2 Marble Grad Cake With Red Borders,"{Kroger,""The Kroger Co.""}",acucares,openfoodfacts,0011110193421,"1/2 marble grad cake with red borders kroger,""the kroger co.""",400,2.22,61.11,16.67,0.3,0.389,47.78,4.44,,
1/2% lowfat milk,"{""Guernsey Dairy Stores  Inc.""}",laticinios,openfoodfacts,0019969001232,"1/2% lowfat milk ""guernsey dairy stores  inc.""",42,3.75,5.42,0.42,0,0.056,5,0.42,,
1/3 Less Fat Than Cream Cheese,{Philadelphia},outros,openfoodfacts,0021000007530,1/3 less fat than cream cheese philadelphia,226,6.45,6.45,16.13,0,0.557,6.45,11.29,,
10 Aloo Puri,"{""Mirch Masala""}",outros,openfoodfacts,0011433118347,"10 aloo puri ""mirch masala""",244,4.44,53.3,2.22,6.67,0.133,2.22,,,
10 Beef Franks,"{""Esskay  Inc.""}",outros,openfoodfacts,0027300122706,"10 beef franks ""esskay  inc.""",696,19.8,9.87,64.2,0,0.002,4.93,24.7,,
100% Apple Cider,"{Musselman's,""Knouse Foods  Inc/Musselman Dv""}",bebidas,openfoodfacts,0037323120672,"100% apple cider musselman's,""knouse foods  inc/musselman dv""",50,0,12.92,0,0,0.01,10.83,,,
100% Apple Juice,{Roundy's},bebidas,openfoodfacts,0011150017220,100% apple juice roundy's,50,0,11.67,0,0,0.015,11.67,,,
100% Apple Juice (Musselman's),"{Musselman's,""Knouse Foods  Inc/Musselman Dv""}",bebidas,openfoodfacts,0037323120696,"100% apple juice (musselman's) musselman's,""knouse foods  inc/musselman dv""",50,0,12.92,0,0,0.01,10.83,,,
100% Apple Juice (Signature Kitchens),"{""Signature Kitchens"",""Safeway  Inc.""}",bebidas,openfoodfacts,0021130310081,"100% apple juice (signature kitchens) ""signature kitchens"",""safeway  inc.""",45.8,0,11.67,0,0.2,0.015,11.67,,,
100% Apple Juice (Tree Top Inc.),"{""Tree Top Inc.""}",bebidas,openfoodfacts,0028700109427,"100% apple juice (tree top inc.) ""tree top inc.""",50,0,12.08,0,0,0.011,10.83,,,
100% Beef Burgers,"{""Big Y"",""Big Y Foods  Inc.""}",outros,openfoodfacts,0018894328490,"100% beef burgers ""big y"",""big y foods  inc.""",257,17.7,0,20.35,0,0.054,,7.96,,
100% Blended Canola & Vegetable Oil,{Signature},bebidas,openfoodfacts,0021130512935,100% blended canola & vegetable oil signature,800,0,0,93.33,0,,,6.67,,
100% Canola Oil,"{Signature,""Safeway  Inc.""}",bebidas,openfoodfacts,0021130512867,"100% canola oil signature,""safeway  inc.""",800,0,0,93.33,0,,,6.67,,
100% Canola Oil (Family Gourmet),"{""Family Gourmet"",""Family Dollar Stores Inc.""}",bebidas,openfoodfacts,0032251175411,"100% canola oil (family gourmet) ""family gourmet"",""family dollar stores inc.""",857,0,0,100,0,,,7.14,,
100% Canola Oil (Signature),{Signature},bebidas,openfoodfacts,0021130513116,100% canola oil (signature) signature,800,0,0,93.33,0,,,6.67,,
100% Cranberry Juice,"{""Giant Eagle  Inc.""}",outros,openfoodfacts,0030034095802,"100% cranberry juice ""giant eagle  inc.""",29,0,7.5,0,0,0.015,2.92,,,
100% Cranberry Juice Blend From Concentrate,"{""Food Lion"",""Food Town Stores Inc.""}",bebidas,openfoodfacts,0035826044259,"100% cranberry juice blend from concentrate ""food lion"",""food town stores inc.""",45.8,0,11.67,0,0,0.013,11.67,,,
100% Egg Whites,"{""Simple Truth Organic""}",outros,openfoodfacts,0011110806543,"100% egg whites ""simple truth organic""",54,10.87,0,0,0,0.163,,,,
100% Expeller Pressed Sunflower Oil,"{""Hain Pure Foods""}",outros,openfoodfacts,0023254116211,"100% expeller pressed sunflower oil ""hain pure foods""",857,0,0,100,0,,,10.71,,
100% Extra Virgin Olive Oil,"{""Family Dollar Stores Inc.""}",bebidas,openfoodfacts,0032251018312,"100% extra virgin olive oil ""family dollar stores inc.""",800,0,0,93.33,0,,,20,,
100% Florida Orange Juice,"{""Redner's Warehouse Market""}",bebidas,openfoodfacts,0015984060100,"100% florida orange juice ""redner's warehouse market""",46,0.83,10.83,0,0,,9.17,,,
100% Fresh Squeezed Orange Juice,"{""Orange Juice""}",bebidas,openfoodfacts,0030304600323,"100% fresh squeezed orange juice ""orange juice""",45.8,0.42,12.1,0,0,,10.4,,,
100% Fruit And Vegetable Juice Blends,{Roundy's},bebidas,openfoodfacts,0011150016759,100% fruit and vegetable juice blends roundy's,46,0,11.67,0,0,0.027,11.25,,,
100% Grape Juice,"{""Family Dollar Stores Inc.""}",bebidas,openfoodfacts,0032251052064,"100% grape juice ""family dollar stores inc.""",67,0,16.67,0,0,0.015,16.67,,,
100% Grape Juice From Concentrate With Added Ingredient,"{""Full Circle Market"",""Topco Associates  Inc.""}",bebidas,openfoodfacts,0036800079007,"100% grape juice from concentrate with added ingredient ""full circle market"",""topco associates  inc.""",66.7,0,16.67,0,0,0.015,16.67,,,
"100% Grape Juice Made With Welch's Own North American Concord Grapes, Grape",{Welch's},outros,openfoodfacts,00218429,"100% grape juice made with welch's own north american concord grapes, grape welch's",58,0.42,15.83,0,0,0.006,15,,,
100% Grated Parmesan Cheese,{Spartan},laticinios,openfoodfacts,0011213508795,100% grated parmesan cheese spartan,400,40,0,30,0,2.4,,20,,
100% Grated Parmesan Cheese (Kraft),{Kraft},laticinios,openfoodfacts,0021000615421,100% grated parmesan cheese (kraft) kraft,20,2,0,1.5,0,,,1,,
100% Grated Parmesan Cheese (Spartan),{Spartan},laticinios,openfoodfacts,0011213508801,100% grated parmesan cheese (spartan) spartan,400,40,0,30,0,2,,20,,
100% Honey Crisp Style Apple Juice From Concentrate,"{""Giant Eagle"",""Giant Eagle  Inc.""}",bebidas,openfoodfacts,0030034084714,"100% honey crisp style apple juice from concentrate ""giant eagle"",""giant eagle  inc.""",46,0,11.67,0,0,0.015,11.67,,,
100% Juice,{Roundy's},outros,openfoodfacts,0011150017336,100% juice roundy's,38,0,8.75,0,0,0.015,7.08,,,
100% Juice (Big Win),"{""Big Win"",""Rite Aid Corporation""}",bebidas,openfoodfacts,0011822616720,"100% juice (big win) ""big win"",""rite aid corporation""",50,0,12.5,0,0,0.013,12.5,,,
100% Juice (Food Lion),"{""Food Lion"",""Food Town Stores Inc.""}",bebidas,openfoodfacts,0035826094117,"100% juice (food lion) ""food lion"",""food town stores inc.""",50,0.83,12.08,0,0.42,0.002,8.75,,,
100% Juice (Giant Eagle Inc.),"{""Giant Eagle  Inc.""}",outros,openfoodfacts,0030034016463,"100% juice (giant eagle inc.) ""giant eagle  inc.""",50,0,12.92,0,0,0.01,10.83,,,
100% Juice (Ocean Spray Cranberries Inc.),"{""Ocean Spray Cranberries  Inc.""}",outros,openfoodfacts,0031200367273,"100% juice (ocean spray cranberries inc.) ""ocean spray cranberries  inc.""",52,0,13.15,0,0,0.008,13.15,,,
100% Juice (Roundy's),{Roundy's},bebidas,openfoodfacts,0011150018128,100% juice (roundy's) roundy's,67,0.42,16.67,0,0,0.008,15.83,,,
100% Juice (Spartan),{Spartan},bebidas,openfoodfacts,0011213045894,100% juice (spartan) spartan,67,0,16.67,0,0,0.015,16.25,,,
100% Juice (Tree Top Inc.),"{""Tree Top Inc.""}",bebidas,openfoodfacts,0028700117712,"100% juice (tree top inc.) ""tree top inc.""",50,0,12.08,0,0,0.008,9.58,,,
100% Juice (Western Family Foods Inc.),"{""Western Family Foods  Inc.""}",bebidas,openfoodfacts,0015400013352,"100% juice (western family foods inc.) ""western family foods  inc.""",50,0,12.5,0,0,0.004,12.5,,,
100% Juice Apple,{Mott's},bebidas,openfoodfacts,0014800000344,100% juice apple mott's,50.7,0,12.3,0,0,0.013,11.8,,,
100% Juice Cranberry,"{""Ocean Spray""}",bebidas,openfoodfacts,0031200201140,"100% juice cranberry ""ocean spray""",41.7,0,12.08,0,0,0.01,9.58,,,
100% Juice From Concentrate,{Kroger},bebidas,openfoodfacts,0011110821454,100% juice from concentrate kroger,67,0.42,15.83,0,0,0.015,15.83,,,
100% Juice From Concentrate With Added Ingredient,"{""Signature Kitchens"",""Safeway  Inc.""}",bebidas,openfoodfacts,0021130310098,"100% juice from concentrate with added ingredient ""signature kitchens"",""safeway  inc.""",45.8,0,11.67,0,0,0.013,11.67,,,
100% Juice Prune Juice,"{""Signature Kitchens"",""Safeway  Inc.""}",bebidas,openfoodfacts,0021130317035,"100% juice prune juice ""signature kitchens"",""safeway  inc.""",76.1,0.42,17.8,0,1.27,0.013,9.72,,,
"100% Juice, Cranberry","{""Ocean Spray"",""Ocean Spray Cranberries  Inc.""}",bebidas,openfoodfacts,0031200026156,"100% juice, cranberry ""ocean spray"",""ocean spray cranberries  inc.""",46,0,11.67,0,0,0.006,11.67,,,
"100% Juice, Cranberry Concord Grape","{""Ocean Spray"",""Ocean Spray Cranberries  Inc.""}",bebidas,openfoodfacts,0031200002242,"100% juice, cranberry concord grape ""ocean spray"",""ocean spray cranberries  inc.""",54,0,13.56,0,0,0.008,13.56,,,
"100% Juice, White Grape",{Spartan},outros,openfoodfacts,0011213045900,"100% juice, white grape spartan",62,0,15.83,0,0,0.015,15.83,,,
"100% Juice, White Grapefruit","{""Ocean Spray"",""Ocean Spray Cranberries  Inc.""}",bebidas,openfoodfacts,0031200330055,"100% juice, white grapefruit ""ocean spray"",""ocean spray cranberries  inc.""",36,0.8,8.37,0,0,0.008,6.77,,,
100% Kiwi Strawberry Juice,"{""Florida's Natural""}",bebidas,openfoodfacts,0016300160481,"100% kiwi strawberry juice ""florida's natural""",51,0,12.8,0,0,0.005,12.08,,,
100% Lactose Free Milk,{Roundy's},outros,openfoodfacts,0011150990172,100% lactose free milk roundy's,38,3.33,5.42,0,0,0.053,5,,,
100% Liquid Egg Whites,{Kroger},outros,openfoodfacts,0011110846037,100% liquid egg whites kroger,54,10.87,0,0,0,0.174,,,,
100% Natural Coconut Oil,"{""Rexall Sundown  Inc.""}",bebidas,openfoodfacts,0030768131821,"100% natural coconut oil ""rexall sundown  inc.""",929,0,0,100,0,,,92.86,,
100% Natural Part Skim Ricotta Cheese,"{""Western Family"",""Western Family Foods  Inc.""}",outros,openfoodfacts,0015400009072,"100% natural part skim ricotta cheese ""western family"",""western family foods  inc.""",129,11.29,3.23,8.06,0,0.123,4.84,4.84,,
100% Natural Part Skim Ricotta Cheese (Western Family),"{""Western Family"",""Western Family Foods  Inc.""}",outros,openfoodfacts,0015400009096,"100% natural part skim ricotta cheese (western family) ""western family"",""western family foods  inc.""",129,11.29,3.23,8.06,0,0.123,4.84,4.84,,
100% Natural Raisins,{Roundy's},bebidas,openfoodfacts,0011150188425,100% natural raisins roundy's,325,2.5,77.5,0,5,0.025,72.5,,,
100% Orange Juice,"{""Minute Maid""}",bebidas,openfoodfacts,0025000056031,"100% orange juice ""minute maid""",48.9,0.67,11.3,0,0,0.007,10,,,
100% Orange Juice (Family Dollar Stores Inc.),"{""Family Dollar Stores Inc.""}",outros,openfoodfacts,0032251014680,"100% orange juice (family dollar stores inc.) ""family dollar stores inc.""",50,0,12.08,0,0,0.015,12.08,,,
100% Orange Juice (Food Lion),"{""Food Lion"",""Food Town Stores Inc.""}",bebidas,openfoodfacts,0035826094100,"100% orange juice (food lion) ""food lion"",""food town stores inc.""",50,0.83,12.08,0,0,0.002,8.75,,,
100% Orange Juice (Food Town Stores Inc.),"{""Food Town Stores Inc.""}",bebidas,openfoodfacts,0035826095077,"100% orange juice (food town stores inc.) ""food town stores inc.""",183.3,0,45,0,0,0.033,43.33,,,
100% Peanut Oil,"{""Signature Kitchens"",""Safeway  Inc.""}",bebidas,openfoodfacts,0021130512928,"100% peanut oil ""signature kitchens"",""safeway  inc.""",800,0,0,93.33,0,,,16.67,,
100% Peanut Oil (Signature),"{Signature,""Safeway  Inc.""}",bebidas,openfoodfacts,0021130512942,"100% peanut oil (signature) signature,""safeway  inc.""",800,0,0,93.33,0,,,16.67,,
100% Pineapple Juice,{Roundy's},outros,openfoodfacts,0011150019309,100% pineapple juice roundy's,46,0.42,12.08,0,0.8,0.015,11.25,,,
100% Pineapple Orange Juice - Frozen Concentrate,"{""Food Town Stores Inc.""}",outros,openfoodfacts,0035826020734,"100% pineapple orange juice - frozen concentrate ""food town stores inc.""",200,1.67,50,0,0,0.017,43.33,,,
100% Premium Orange Juice From Concentrate,"{""Florida's Natural""}",bebidas,openfoodfacts,0016300165745,"100% premium orange juice from concentrate ""florida's natural""",45.8,0.83,11.2,0,0,0.004,9.58,,,
100% Premium Ruby Red Grapefruit Juice Not From Concentrate,"{""Florida's Natural""}",bebidas,openfoodfacts,0016300165127,"100% premium ruby red grapefruit juice not from concentrate ""florida's natural""",38,0.42,9.17,0,0,,8.33,,,
100% Prune Juice,"{""Family Gourmet"",""Family Dollar Stores Inc.""}",bebidas,openfoodfacts,0032251014703,"100% prune juice ""family gourmet"",""family dollar stores inc.""",75,0.42,17.5,0,0.8,0.012,9.58,,,
100% Pure Canola Oil,"{""Canola Harvest""}",bebidas,openfoodfacts,0000111048403,"100% pure canola oil ""canola harvest""",857,0,0,100,0,,,7.14,,
100% Pure Canola Oil (Shurfine),"{Shurfine,""Topco Associates  Inc.""}",bebidas,openfoodfacts,0011161171270,"100% pure canola oil (shurfine) shurfine,""topco associates  inc.""",857,0,0,100,0,,,7.14,,
100% Pure Canola Oil (Valu Time),"{""Valu Time""}",bebidas,openfoodfacts,0011225028830,"100% pure canola oil (valu time) ""valu time""",857,0,0,100,0,,,7.14,,
100% Pure Corn Oil,"{""Butcher Boy""}",bebidas,openfoodfacts,0021559260622,"100% pure corn oil ""butcher boy""",857,0,0,100,0,,,14.29,,
100% Pure Corn Starch,"{""Big Y""}",bebidas,openfoodfacts,0018894703310,"100% pure corn starch ""big y""",375,0,87.5,0,0,,,,,
100% Pure Corn Starch (Family Gourmet),"{""Family Gourmet""}",bebidas,openfoodfacts,0032251052446,"100% pure corn starch (family gourmet) ""family gourmet""",375,0,87.5,0,0,,,,,
100% Pure Corn Starch (Food Club),"{""Food Club""}",bebidas,openfoodfacts,0036800168961,"100% pure corn starch (food club) ""food club""",350,0,90,0,0,,,,,
100% Pure Florida Pasteurized Orange Juice,"{""Florida's Natural""}",bebidas,openfoodfacts,0016300166476,"100% pure florida pasteurized orange juice ""florida's natural""",46,0.72,10.87,0,0,,9.18,,,
"100% Pure Florida Pasteurized Orange Juice, No Pulp With Calcium & Vitamin D","{""Citrus World Inc.""}",outros,openfoodfacts,0016300151304,"100% pure florida pasteurized orange juice, no pulp with calcium & vitamin d ""citrus world inc.""",46,0.83,10.83,0,0,,9.17,,,
"100% Pure Florida Pasteurized Orange Juice, With Pulp","{""Citrus World Inc.""}",outros,openfoodfacts,0016300151267,"100% pure florida pasteurized orange juice, with pulp ""citrus world inc.""",46,0.83,10.83,0,0,,9.17,,,
100% Pure Honey,{Roundy's},acucares,openfoodfacts,0011150066044,100% pure honey roundy's,286,0,80.95,0,0,,76.19,,,
100% Pure Honey (Big Y),"{""Big Y""}",acucares,openfoodfacts,0018894903345,"100% pure honey (big y) ""big y""",286,0,80.95,0,0,,76.19,,,
100% Pure Honey (Food Lion),"{""Food Lion""}",acucares,openfoodfacts,0035826036995,"100% pure honey (food lion) ""food lion""",286,0,80.95,0,0,,76.19,,,
100% Pure Honey (Valu Time),"{""Valu Time""}",acucares,openfoodfacts,0011225041808,"100% pure honey (valu time) ""valu time""",286,0,80.95,0,0,,76.19,,,
100% Pure Juice From Concentrate,"{""Citrus World Inc.""}",bebidas,openfoodfacts,0016300160177,"100% pure juice from concentrate ""citrus world inc.""",45.8,0.42,11.25,0,0,0.004,10,,,
100% Pure Maple Syrup,"{""Trader Joe's""}",acucares,openfoodfacts,00221993,"100% pure maple syrup ""trader joe's""",367,0,93.3,0,0,,80,,,
100% Pure Maple Syrup (Food Lion),"{""Food Lion"",""Food Town Stores Inc.""}",acucares,openfoodfacts,0035826076410,"100% pure maple syrup (food lion) ""food lion"",""food town stores inc.""",333.3,0,90,0,0,0.017,90,,,
100% Pure Maple Syrup (Trader Joe's),"{""Trader Joe's""}",acucares,openfoodfacts,00293730,"100% pure maple syrup (trader joe's) ""trader joe's""",350,0,86.67,0,0,,86.67,,,
100% Pure Olive Oil,"{Kroger,""The Kroger Co.""}",bebidas,openfoodfacts,0011110878830,"100% pure olive oil kroger,""the kroger co.""",800,0,0,93.33,0,,,13.33,,
100% Pure Olive Oil (Casa Imports Inc.),"{""Casa Imports Inc.""}",bebidas,openfoodfacts,0026662112219,"100% pure olive oil (casa imports inc.) ""casa imports inc.""",800,0,0,93.33,0,,,13.33,,
100% Pure Olive Oil (Kalamata),{Kalamata},bebidas,openfoodfacts,0012729003088,100% pure olive oil (kalamata) kalamata,857,0,0,100,0,,,14.29,,
